Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0317,C002,P0270,29-05-2022,236.00,30.00%
OD0318,C003,P0271,02-10-2021,456.00,30.00%
OD0319,C004,P0272,15-02-2022,963.00,25.00%
OD0320,C005,P0273,18-08-2021,234.00,25.00%
OD0321,C006,P0274,13-01-2022,456.00,30.00%
OD0322,C007,P0274,03-06-2021,564.00,30.00%
OD0323,C008,P0274,11-09-2022,634.00,30.00%
OD0324,C009,P0274,04-10-2022,236.00,40.00%
OD0325,C010,P0274,02-05-2021,444.00,40.00%
OD0326,C011,P0275,28-12-2022,456.00,40.00%
OD0327,C012,P0276,28-09-2022,963.00,40.00%
OD0328,C013,P0277,24-03-2021,456.00,40.00%
OD0329,C014,P0278,27-02-2021,1189.00,40.00%
OD0330,C015,P0279,02-04-2022,1298.00,45.00%
OD0331,C016,P0280,11-06-2022,1456.00,45.00%
OD0332,C017,P0281,27-01-2023,1478.00,45.00%
OD0333,C018,P0282,01-06-2022,256.00,47.00%
OD0334,C019,P0283,14-08-2022,2698.00,47.00%
OD0335,C020,P0284,04-04-2022,2364.00,46.00%
OD0336,C021,P0285,09-06-2021,1236.00,46.00%
OD0337,C022,P0286,19-02-2021,756.00,46.00%
OD0338,C023,P0287,18-11-2021,326.00,30.00%
OD0339,C024,P0288,18-01-2022,453.00,30.00%
OD0340,C025,P0289,09-02-2023,326.00,30.00%
OD0341,C026,P0290,15-07-2021,456.00,30.00%
OD0342,C027,P0291,02-02-2022,675.00,30.00%
OD0343,C028,P0292,25-09-2021,654.00,35.00%
OD0344,C029,P0292,26-04-2022,654.00,35.00%
OD0345,C030,P0292,18-03-2021,654.00,35.00%
OD0346,C031,P0292,21-06-2021,654.00,35.00%
OD0347,C032,P0293,11-02-2023,356.00,35.00%
OD0348,C033,P0294,18-05-2021,686.00,35.00%
OD0349,C034,P0295,04-12-2021,456.00,40.00%
OD0350,C035,P0296,23-10-2022,516.00,40.00%
OD0351,C036,P0297,05-11-2022,355.00,15.00%
OD0352,C037,P0298,21-06-2021,465.00,15.00%
OD0353,C038,P0299,15-01-2021,965.00,15.00%
OD0354,C039,P0300,08-01-2023,1158.00,35.00%
OD0355,C040,P0301,11-04-2022,264.00,35.00%
OD0356,C041,P0302,29-04-2021,433.00,35.00%
OD0357,C042,P0303,06-01-2021,562.00,35.00%
OD0358,C043,P0304,21-12-2022,423.00,55.00%
OD0359,C044,P0305,18-09-2021,621.00,55.00%
OD0360,C045,P0306,13-11-2021,333.00,55.00%
OD0361,C046,P0307,27-11-2021,236.00,55.00%
OD0362,C047,P0308,27-09-2021,456.00,50.00%
OD0363,C048,P0309,06-01-2021,963.00,50.00%
OD0364,C049,P0310,05-11-2021,234.00,50.00%
OD0365,C050,P0311,23-07-2022,456.00,50.00%
OD0366,C051,P0312,04-03-2023,564.00,50.00%
OD0367,C052,P0313,23-08-2022,634.00,30.00%
OD0368,C053,P0314,13-03-2023,236.00,32.00%
OD0369,C054,P0315,17-04-2022,444.00,25.00%
OD0370,C055,P0316,25-10-2022,456.00,45.00%
OD0371,C056,P0317,12-03-2023,963.00,15.00%
OD0372,C057,P0318,11-02-2022,456.00,33.00%
OD0373,C058,P0319,19-01-2021,1189.00,42.00%
OD0374,C059,P0319,16-08-2021,1298.00,42.00%
OD0375,C060,P0319,09-07-2022,1456.00,39.00%
OD0376,C061,P0319,22-08-2022,1478.00,39.00%
OD0377,C062,P0319,06-08-2021,256.00,39.00%
OD0378,C063,P0319,01-02-2022,2698.00,39.00%
OD0379,C064,P0319,17-11-2021,2364.00,30.00%
OD0380,C065,P0320,25-05-2022,1236.00,30.00%
OD0381,C066,P0321,08-08-2021,756.00,30.00%
OD0382,C067,P0322,06-03-2021,326.00,25.00%
OD0383,C068,P0323,16-03-2023,453.00,25.00%
OD0384,C069,P0324,26-03-2021,326.00,30.00%
OD0385,C070,P0325,06-05-2021,456.00,30.00%
OD0386,C071,P0326,06-03-2021,456.00,30.00%
OD0387,C072,P0327,22-08-2021,456.00,40.00%
OD0388,C073,P0328,12-08-2022,456.00,40.00%
OD0389,C074,P0329,05-12-2022,236.00,40.00%
OD0390,C075,P0330,31-12-2021,996.00,40.00%
OD0391,C076,P0331,18-09-2022,654.00,40.00%
OD0392,C077,P0332,23-06-2022,456.00,40.00%
OD0393,C078,P0333,08-09-2021,785.00,45.00%
OD0394,C079,P0334,27-09-2022,365.00,45.00%
OD0395,C080,P0334,27-06-2022,965.00,45.00%
OD0396,C081,P0334,04-07-2021,444.00,47.00%
OD0397,C082,P0335,04-01-2021,569.00,47.00%
OD0398,C083,P0336,31-03-2022,475.00,46.00%
OD0399,C084,P0337,16-06-2021,598.00,46.00%
OD0400,C085,P0338,05-07-2022,536.00,46.00%
OD0401,C086,P0339,17-01-2021,256.00,30.00%
OD0402,C087,P0340,26-08-2022,456.00,30.00%
OD0403,C088,P0341,15-09-2022,456.00,30.00%
OD0404,C089,P0342,13-03-2022,745.00,30.00%
OD0405,C090,P0343,31-05-2021,356.00,30.00%
OD0406,C091,P0344,30-03-2023,1189.00,35.00%
OD0407,C092,P0345,08-06-2022,426.00,35.00%
OD0408,C093,P0346,25-07-2021,1126.00,35.00%
OD0409,C094,P0347,02-02-2022,1145.00,35.00%
OD0410,C095,P0348,03-03-2023,1235.00,35.00%
OD0411,C096,P0349,27-09-2021,1564.00,35.00%
OD0412,C097,P0350,28-12-2021,654.00,40.00%
OD0413,C098,P0351,05-04-2022,854.00,40.00%
OD0414,C099,P0352,30-09-2021,475.00,15.00%
OD0415,C100,P0353,10-03-2022,349.00,15.00%
OD0416,C001,P0354,13-09-2021,350.00,15.00%
OD0417,C002,P0355,11-03-2021,351.00,35.00%
OD0418,C003,P0356,04-01-2023,352.00,35.00%
OD0419,C004,P0357,11-06-2021,2245.00,35.00%
OD0420,C005,P0358,10-10-2021,2135.00,35.00%
OD0421,C006,P0359,12-02-2023,1245.00,55.00%
OD0422,C007,P0360,10-10-2022,2145.00,55.00%
OD0423,C008,P0361,13-11-2022,2356.00,55.00%
OD0424,C009,P0362,31-05-2022,2235.00,55.00%
OD0425,C010,P0363,12-07-2022,2252.00,50.00%
OD0426,C011,P0364,23-03-2021,2452.00,50.00%
OD0427,C012,P0365,29-12-2022,2263.00,50.00%
OD0428,C013,P0366,21-02-2023,2253.00,50.00%
OD0429,C014,P0367,02-12-2021,1025.00,50.00%
OD0430,C015,P0368,02-03-2021,1025.00,30.00%
OD0431,C016,P0369,09-10-2021,555.00,32.00%
OD0432,C017,P0370,18-12-2022,599.00,25.00%
OD0433,C018,P0371,04-09-2022,555.00,45.00%
OD0434,C019,P0372,31-03-2023,555.00,15.00%
OD0435,C020,P0373,18-11-2021,565.00,33.00%
OD0436,C021,P0374,23-03-2021,555.00,42.00%
OD0437,C022,P0375,06-04-2022,999.00,42.00%
OD0438,C023,P0376,27-02-2022,999.00,39.00%
OD0439,C024,P0377,28-08-2021,999.00,39.00%
OD0440,C025,P0378,06-05-2022,999.00,39.00%
OD0441,C026,P0379,23-12-2021,1119.00,39.00%
OD0442,C027,P0380,23-03-2023,1119.00,30.00%
OD0443,C028,P0381,20-10-2021,1119.00,30.00%
OD0444,C029,P0382,29-12-2022,1119.00,30.00%
OD0445,C030,P0383,01-07-2022,985.00,25.00%
OD0446,C031,P0384,12-09-2022,985.00,25.00%
OD0447,C032,P0385,13-02-2021,985.00,30.00%
OD0448,C033,P0386,10-11-2022,985.00,30.00%
OD0449,C034,P0387,22-06-2021,985.00,30.00%
OD0450,C035,P0388,28-10-2022,369.00,40.00%
OD0451,C036,P0388,03-01-2021,399.00,40.00%
OD0452,C037,P0388,20-09-2022,399.00,40.00%
OD0453,C038,P0388,18-12-2022,399.00,40.00%
OD0454,C039,P0388,27-04-2022,399.00,40.00%
OD0455,C040,P0388,05-08-2022,555.00,40.00%
OD0456,C041,P0388,04-08-2021,555.00,45.00%
OD0457,C042,P0388,14-11-2022,555.00,45.00%
OD0458,C043,P0389,15-12-2022,555.00,45.00%
OD0459,C044,P0390,16-04-2022,675.00,47.00%
OD0460,C045,P0391,28-09-2021,675.00,47.00%
OD0461,C046,P0392,26-06-2021,675.00,46.00%
OD0462,C047,P0393,15-01-2021,654.00,46.00%
OD0463,C048,P0394,21-02-2021,654.00,46.00%
OD0464,C049,P0395,14-12-2022,654.00,30.00%
OD0465,C050,P0396,27-01-2023,654.00,30.00%
OD0466,C051,P0397,01-11-2022,356.00,30.00%
OD0467,C052,P0398,26-07-2021,686.00,30.00%
OD0468,C053,P0399,16-06-2022,456.00,30.00%
OD0469,C054,P0400,16-05-2021,516.00,35.00%
OD0470,C055,P0401,03-03-2021,355.00,35.00%
OD0471,C056,P0402,11-02-2023,465.00,35.00%
OD0472,C057,P0403,02-09-2022,965.00,35.00%
OD0473,C058,P0404,11-12-2022,1158.00,35.00%
OD0474,C059,P0404,18-02-2021,264.00,35.00%
OD0475,C060,P0404,05-10-2022,433.00,40.00%
OD0476,C061,P0404,07-08-2022,562.00,40.00%
OD0477,C062,P0404,19-01-2021,423.00,15.00%
OD0478,C063,P0404,14-05-2022,621.00,15.00%
OD0479,C064,P0405,02-04-2022,333.00,15.00%
OD0480,C065,P0406,25-05-2021,236.00,35.00%
OD0481,C066,P0407,08-06-2022,456.00,35.00%
OD0482,C067,P0408,29-09-2021,963.00,35.00%
OD0483,C068,P0409,28-11-2022,234.00,35.00%
OD0484,C069,P0410,21-08-2021,456.00,55.00%
OD0485,C070,P0411,22-02-2022,564.00,55.00%
OD0486,C071,P0412,29-03-2023,634.00,55.00%
OD0487,C072,P0413,21-05-2022,236.00,55.00%
OD0488,C073,P0414,09-09-2021,444.00,50.00%
OD0489,C074,P0415,11-02-2023,456.00,50.00%
OD0490,C075,P0416,02-08-2022,963.00,50.00%
OD0491,C076,P0417,26-02-2023,456.00,50.00%
OD0492,C077,P0417,04-02-2022,1189.00,50.00%
OD0493,C078,P0417,13-04-2022,1298.00,30.00%
